propertyId,primaryPropertyType,secondaryPropertyType,primaryCategory,address,state,locarea,suburb,postcode,suburbId,price,price_adjusted,buildingsize,landsize,bedrooms,bathrooms,parking,medianPrice,propertyFeatures
DG-8351-PB,Apartment,Apartment / Unit / Flat,Sold,"11/157 Russell Ave, Dolls Point NSW 2219",NSW,st_george,Dolls Point,2219,13892,"$435,000 ","$435,000 ",0,0,2,1,1,0K,
,Apartment,Apartment / Unit / Flat,Sold,"4/2 Cardigan Lane, Camperdown NSW 2050",NSW,inner_west,Camperdown,2050,8552,Price Withheld,$0 ,0,0,2,2,1,0K,Secure Parking
IB-2424-IT,Apartment,Apartment / Unit / Flat,Sold,"5/11-13 Allen Street, Harris Park NSW 2150",NSW,parramatta,Harris Park,2150,20422,"$447,000 ","$447,000 ",0,0,2,1,1,0K,Builtin wardrobe
XJ-1051-VQ,Apartment,Apartment / Unit / Flat,Sold,"144/121-133 Pacific Highway, Hornsby NSW 2077",NSW,north_shore_upper,Hornsby,2077,21362,"$448,000 ","$448,000 ",97 sqm,0,2,2,2,0K,"2 Carspaces,Air conditioning,Balcony / Deck,Bath,Built in wardrobes,Bushland And Mountain Views.,Cable or Satellite,Dishwasher,Double glazed windows,Ensuite,Gas,Gym,Heating,Indoor Spa,Intercom,Internal Laundry,On-site Manager,Secure parking,Swimming Pool"
,Apartment,Apartment / Unit / Flat,Sold,"32/29 Paul Street, BONDI JUNCTION NSW 2022",NSW,eastern_suburbs,Bondi Junction,2022,5302,"$661,500 ","$661,500 ",0,0,2,1,1,0K,
,Apartment,Apartment / Unit / Flat,Sold,"3203/177-219 Mitchell Road, ERSKINEVILLE NSW 2043",NSW,inner_west,Erskineville,2043,15982,"$605,000 ","$605,000 ",0,0,2,2,1,0K,"Close to Schools, Close to Shops, Close to Transport"
LA-1080-VB,Apartment,Apartment / Unit / Flat,Sold,"18/11-23 Hay Street, LEICHHARDT NSW 2040",NSW,inner_west,Leichhardt,2040,25302,"$460,000 ","$460,000 ",0,0,1,1,1,0K,"Close to Schools, Close to Shops, Close to Transport, Air Conditioning/Heating, Security Alarm"
YZ-2219-GK,Apartment,Apartment / Unit / Flat,Sold,"1018/6 Marquet Street, Rhodes NSW 2138",NSW,inner_west,Rhodes,2138,37132,"$675,000 ","$675,000 ",140 sqm,140 sqm,2,2,1,0K,"Air conditioning,Balcony / Deck,Bath,Built in wardrobes,Cable or Satellite,Dishwasher,Ensuite,Ensuite(s),Gym,Intercom,Internal Laundry,North Facing,Secure parking,Secure Parking,Study,Swimming Pool,Water Views"
,Apartment,Apartment / Unit / Flat,Sold,"D307/26 Point Street, Pyrmont NSW 2009",NSW,sydney_city,Pyrmont,2009,36382,"$530,000 ","$530,000 ",81,0,2,1,1,0K,"Balcony / Patio / Terrace,Bath,Built in Wardrobes,Close to Schools,Close to Shops,Close to Transport,Formal Lounge,Garden,Gas,Gym,Intercom,Internal Laundry,Lift,Modern Bathroom,Modern Kitchen,Quiet Location,Swimming Pool"
OD-8877-MD,Apartment,Apartment / Unit / Flat,Sold,"5/172-178 Maroubra Road, MAROUBRA NSW 2035",NSW,eastern_suburbs,Maroubra,2035,27512,"$570,000 ","$570,000 ",0,0,2,2,1,0K,
IV-3460-FM,Apartment,Apartment / Unit / Flat,Sold,"814/39 Cooper  Street, Strathfield NSW 2135",NSW,inner_west,Strathfield,2135,40782,"$530,000 ","$530,000 ",0,0,2,2,2,0K,"Air Conditioning, Heating, Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Ensuite, Area Views, Security Access, Lift Installed"
A42280742,Apartment,Apartment / Unit / Flat,Sold,"14/12 Murray St, NORTHMEAD NSW 2152",NSW,parramatta,Northmead,2152,33592,"$457,000 ","$457,000 ",0,0,2,2,2,0K,"Air Conditioning, Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Secure Parking, Terrace-Balcony"
NU-4005-NM,Apartment,Apartment / Unit / Flat,Sold,"19/279-285 Trafalgar Street, Petersham NSW 2049",NSW,inner_west,Petersham,2049,35402,"$550,000 ","$550,000 ",0,0,2,1,1,0K,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Formal Lounge, Separate Dining"
VV-0457-LF,Apartment,Apartment / Unit / Flat,Sold,"3/516 Railway Pde, Hurstville NSW 2220",NSW,st_george,Hurstville,2220,21712,"$570,000 ","$570,000 ",0,0,2,1,1,0K,"Floorboards,Built in wardrobes,Internal Laundry,Bath"
A5485257,Apartment,Apartment / Unit / Flat,Sold,"17/154 Chuter Avenue, Sans Souci NSW 2219",NSW,st_george,Sans Souci,2219,38462,"$520,000 ","$520,000 ",0,0,2,1,1,0K,"Balcony / Deck,Built in wardrobes"
A21647142,Apartment,Apartment / Unit / Flat,Sold,"7/35-41 Sturdee Parade, Dee Why NSW 2099",NSW,northern_beaches,Dee Why,2099,13452,"$515,000 ","$515,000 ",0,0,1,2,1,0K,"Balcony / Deck,Built in wardrobes,Dishwasher,Floorboards,Ground floor,Intercom,Internal Laundry,North Facing,Secure Parking"
JK-2060-TR,Apartment,Apartment / Unit / Flat,Sold,"7/14 Linda Street, Hornsby NSW 2077",NSW,north_shore_upper,Hornsby,2077,21362,"$472,500 ","$472,500 ",106,0,2,2,2,0K,"2 Bedroom(s), Separate Dining, 2 Bathroom(s), 2 Toilet(s), Separate Laundry"
CU-6487-CW,Apartment,Apartment / Unit / Flat,Sold,"15/12 Regina Avenue, Brookvale NSW 2100",NSW,northern_beaches,Brookvale,2100,6612,"$550,100 ","$550,100 ",0,0,1,1,1,0K,Study
A5880327,Apartment,Apartment / Unit / Flat,Sold,"65/17-25 Wentworth Avenue, SYDNEY NSW 2000",NSW,sydney_city,Sydney,2000,41352,"$547,000 ","$547,000 ",0,0,2,1,1,0K,\r\nBuilt-in wardrobes\r\nSecure parking\r\nBalcony\r\nIdeal for couples\r\n
VI-5358-MS,Apartment,Apartment / Unit / Flat,Sold,"Unit 8 118-124 Longfield Street, CABRAMATTA NSW 2166",NSW,liverpool_fairfield,Cabramatta,2166,8072,"$420,000 ","$420,000 ",0,0,2,1,1,0K,
QA-0494-BY,Apartment,Apartment / Unit / Flat,Sold,"1/42-44 Illawarra Road, Allawah NSW 2218",NSW,st_george,Allawah,2218,532,"$650,000 ","$650,000 ",0,0,2,1,1,0K,
A25833662,Apartment,Apartment / Unit / Flat,Sold,"1102/90-98 King Street, Randwick NSW 2031",NSW,eastern_suburbs,Randwick,2031,36632,"$530,000 ","$530,000 ",0,91 Square Metres sqm,1,1,1,0K,"Lift, \r\nSpacious bedroom with b/ins and courtyard access\r\nIntegrated CaesarStone gas kitchen \r\nGenerous light-filled living/dining with separate study\r\nLarge, courtyard garden\r\nSecurity parking with separate storage cage, \r\nPet friendly, a/c, \r\n"
JL-9010-RH,Apartment,Apartment / Unit / Flat,Sold,"1/3 Devitt Avenue, Newington NSW 2127",NSW,inner_west,Newington,2127,32572,"$735,000 ","$735,000 ",0,0,2,2,2,0K,"Air Conditioning, Alarm System, Balcony, Courtyard, Built in wardrobes, Dishwasher"
A5477628,Apartment,Apartment / Unit / Flat,Sold,"16/44 Cassia Street, Dee Why NSW 2099",NSW,northern_beaches,Dee Why,2099,13452,"$450,000 ","$450,000 ",0,74.0000 sq meters sqm,1,1,1,0K,Secure Parking
KS-1249-XG,Apartment,Apartment / Unit / Flat,Sold,"16/11 Williams Parade, Dulwich Hill NSW 2203",NSW,inner_west,Dulwich Hill,2203,14262,"$630,000 ","$630,000 ",0,0,2,1,1,0K,
NB-9407-UI,Apartment,Apartment / Unit / Flat,Sold,"39/65 McBurney Road, CABRAMATTA NSW 2166",NSW,liverpool_fairfield,Cabramatta,2166,8072,"$400,000 ","$400,000 ",0,0,2,1,1,0K,"Air Conditioning, Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Terrace-Balcony"
,Apartment,Apartment / Unit / Flat,Sold,"8/86A Mount Street, COOGEE NSW 2034",NSW,eastern_suburbs,Coogee,2034,11282,"$520,500 ","$520,500 ",0,0,2,1,1,0K,
,Apartment,Apartment / Unit / Flat,Sold,"17/1 VICTORIA AVENUE, Penshurst NSW 2222",NSW,st_george,Penshurst,2222,35362,"$610,000 ","$610,000 ",0,0,2,2,1,0K,"Air conditioning,Bath,Built in wardrobes,Dishwasher,Ensuite,Gas,Intercom,Internal Laundry"
A26301532,Apartment,Apartment / Unit / Flat,Sold,"B49/158 Maroubra Road, MAROUBRA NSW 2035",NSW,eastern_suburbs,Maroubra,2035,27512,"$580,000 ","$580,000 ",0,0,2,2,1,0K,
TW-7305-QA,Apartment,Apartment / Unit / Flat,Sold,"18/8 Koorala Street, Manly Vale NSW 2093",NSW,northern_beaches,Manly Vale,2093,27242,"$575,000 ","$575,000 ",0,0,2,2,2,0K,
,Apartment,Apartment / Unit / Flat,Sold,"43/26 Belgrave Street, Kogarah NSW 2217",NSW,st_george,Kogarah,2217,24012,"$645,000 ","$645,000 ",0,0,2,1,1,0K,
SY-3402-AY,Apartment,Apartment / Unit / Flat,Sold,"4/93-95 Howard Avenue, Dee Why NSW 2099",NSW,northern_beaches,Dee Why,2099,13452,"$760,000 ","$760,000 ",87.5 sqm,0,2,1,1,0K,
,Apartment,Apartment / Unit / Flat,Sold,"3/614 Blaxland Road, EASTWOOD NSW 2122",NSW,northern_suburbs,Eastwood,2122,15212,"$419,000 ","$419,000 ",0,0,2,1,1,0K,
,Apartment,Apartment / Unit / Flat,Sold,"15/2-10 Hawkesbury Avenue :-), Dee Why NSW 2099",NSW,northern_beaches,Dee Why,2099,13452,"$510,000 ","$510,000 ",98 sqm,0,2,2,1,0K,"Air conditioning,Built in wardrobes,Dishwasher,Ensuite,Floorboards,Internal Laundry,Pets allowed"
PM-2229-ZF,Apartment,Apartment / Unit / Flat,Sold,"1/94 Lawrence Street, FRESHWATER NSW 2096",NSW,northern_beaches,Freshwater,2096,63222,"$545,000 ","$545,000 ",0,0,2,1,1,0K,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Fireplace(s), Secure Parking, Terrace-Balcony"
A5934209,Apartment,Apartment / Unit / Flat,Sold,"8/23-27 St George Parade, HURSTVILLE NSW 2220",NSW,st_george,Hurstville,2220,21712,Price Withheld,$0 ,0,0,2,1,1,0K,
A5798286,Apartment,Apartment / Unit / Flat,Sold,MANLY NSW 2095,NSW,northern_beaches,Manly,2095,27222,"$625,000 ","$625,000 ",0,0,2,1,1,0K,
BS-8761-VQ,Apartment,Apartment / Unit / Flat,Sold,"8/122 Perouse Road, Randwick NSW 2031",NSW,eastern_suburbs,Randwick,2031,36632,"$546,500 ","$546,500 ",0,0,2,1,1,0K,
VW-7370-UM,House,Townhouse,Sold,"4/3 Rena Street, South Hurstville NSW 2221",NSW,st_george,South Hurstville,2221,39672,"$515,000 ","$515,000 ",0,0,2,1,1,0K,
,Apartment,Apartment / Unit / Flat,Sold,"4/5 Clarence Avenue, Dee Why NSW 2099",NSW,northern_beaches,Dee Why,2099,13452,Price Withheld,$0 ,132,0,2,2,2,0K,
JP-9646-UL,Apartment,Apartment / Unit / Flat,Sold,"3/66 Soldiers Ave, Freshwater NSW 2096",NSW,northern_beaches,Freshwater,2096,63222,"$566,000 ","$566,000 ",0,0,2,1,1,0K,"Balcony / Deck,Built in wardrobes,Dishwasher,Internal Laundry,North Facing,Secure parking"
TG-6762-EL,Apartment,Apartment / Unit / Flat,Sold,"1205/184 Forbes Street, DARLINGHURST NSW 2010",NSW,eastern_suburbs,Darlinghurst,2010,13272,"$680,000 ","$680,000 ",71,0,1,1,1,0K,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Pool, Air Conditioning/Heating, Secure Parking, Terrace-Balcony"
