propertyId,date sold,primaryPropertyType,secondaryPropertyType,primaryCategory,address,state,locarea,suburb,postcode,suburbId,price,buildingsize,landsize,bedrooms,bathrooms,parking,medianPrice,propertyFeatures
A22030652,8-Nov-14,Apartment,Apartment / Unit / Flat,Sold,"A43/252 Botany Road, ALEXANDRIA NSW 2015",NSW,eastern_suburbs,Alexandria,2015,452,"$585,000 ",0,0,1,1,1,0K,"Close to Schools, Close to Shops, Close to Transport, Gym"
,6-Jul-09,Apartment,Apartment / Unit / Flat,Sold,"23/267 Miller Stret, NORTH SYDNEY NSW 2060",NSW,north_shore_lower,North Sydney,2060,33412,Price Withheld,0,0,2,2,1,0K,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Internal Laundry, Secure Parking, Terrace-Balcony, Level lift access from lock up garage"
,2-Jun-16,Apartment,Apartment / Unit / Flat,Sold,"23/211 Mead Place, Chipping Norton NSW 2170",NSW,liverpool_fairfield,Chipping Norton,2170,9962,"$505,000 ",0,0,2,2,1,0K,
JI-7022-PH,4-Jan-12,Apartment,Apartment / Unit / Flat,Sold,"3/10 Clement Street, RUSHCUTTERS BAY NSW 2011",NSW,eastern_suburbs,Rushcutters Bay,2011,38022,"$710,000 ",0,0,2,1,1,0K,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Secure Parking"
OA-5974-FQ,2-Apr-14,Apartment,Apartment / Unit / Flat,Sold,"18/10 Mackay Street, CARINGBAH NSW 2229",NSW,sutherland,Caringbah,2229,8922,"$550,000 ",0,0,2,2,1,0K,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Ensuite, Intercom, Area Views, City Views, Security Access, Lift Installed"
LY-0926-PC,31-Jul-12,Apartment,Apartment / Unit / Flat,Sold,"18/9 Peach Tree Road, Macquarie Park NSW 2113",NSW,northern_suburbs,Macquarie Park,2113,26812,"$500,000 ",0,0,2,1,1,0K,
YV-0817-EF,17-Oct-15,House,Townhouse,Sold,"8/20 Davies Street, North Parramatta NSW 2151",NSW,parramatta,North Parramatta,2151,33282,"$590,000 ",0,0,2,1,3,0K,"Air Conditioning, Internal Laundry, Balcony / Deck, Built in wardrobes"
VZ-3875-QK,23-Dec-15,House,Townhouse,Sold,"6/23 Jessie Street, Westmead NSW 2145",NSW,parramatta,Westmead,2145,47602,"$600,000 ",0,0,2,1,1,0K,"Built-In Wardrobes, Close to Schools, Close to Shops"
ML-0450-DU,10-Jun-11,Apartment,Apartment / Unit / Flat,Sold,"6/210 Oberon Street, Coogee NSW 2034",NSW,eastern_suburbs,Coogee,2034,11282,"$510,000 ",0,0,2,1,1,0K,"Council:$1, 017.94 p/a, Water: $139.72 p/q, Strata: $477.11 p/q"
CV-9112-BU,27-May-09,Apartment,Apartment / Unit / Flat,Sold,"506/28 Rider Boulevard, RHODES NSW 2138",NSW,inner_west,Rhodes,2138,37132,"$585,000 ",132,0,2,2,2,0K,"Built-In Wardrobes, Close to Shops, Close to Transport, Pool, Air Conditioning/Heating, Secure Parking, Terrace-Balcony"
,10-Mar-17,Apartment,Apartment / Unit / Flat,Sold,"4/43 Musgrave Street, Mosman NSW 2088",NSW,north_shore_lower,Mosman,2088,30012,"$665,000 ",0,0,1,1,1,0K,"Secure Parking,Terrace-Balcony"
SK-9606-OE,5-Dec-13,Apartment,Apartment / Unit / Flat,Sold,"4/219-221 President Avenue, Monterey NSW 2217",NSW,st_george,Monterey,2217,29502,"$510,000 ",0,0,2,1,1,0K,"Balcony / Deck,Bath,Built in wardrobes,Floorboards,Intercom,Internal Laundry"
EN-0252-MD,25-Oct-12,Apartment,Apartment / Unit / Flat,Sold,"6/52 Hornsey Street, ROZELLE NSW 2039",NSW,inner_west,Rozelle,2039,37942,"$510,000 ",0,0,2,1,1,0K,
TD-0668-DB,26-May-16,Apartment,Apartment / Unit / Flat,Sold,"3/23 St Georges Parade, Hurstville NSW 2220",NSW,st_george,Hurstville,2220,21712,"$665,000 ",0,0,2,1,1,0K,
,30-May-08,House,Townhouse,Sold,"4/13 Olympia Road, NAREMBURN NSW 2065",NSW,north_shore_lower,Naremburn,2065,31962,Price Withheld,0,0,2,1,1,0K,
WN-4212-TU,1-Feb-13,Apartment,Apartment / Unit / Flat,Sold,"123/1-5 Bourke Street, Mascot NSW 2020",NSW,eastern_suburbs,Mascot,2020,27742,"$591,000 ",100,165 sqm,2,2,2,0K,"Air Conditioning, Heating, Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Ensuite, Pets Allowed, Pool, Intercom, Security Access, Lift Installed"
YB-3676-WJ,13-Jul-15,Apartment,Apartment / Unit / Flat,Sold,"15/17 Jenkins Street, Collaroy NSW 2097",NSW,northern_beaches,Collaroy,2097,10672,"$682,000 ",0,0,2,1,1,0K,"Balcony, Dishwasher, Secure Parking, Built In Robes"
CF-4984-YG,7-Mar-17,Apartment,Apartment / Unit / Flat,Sold,"24/41 Veron St, Westmead NSW 2145",NSW,parramatta,Westmead,2145,47602,"$600,000 ",0,0,2,2,1,0K,"Ensuite,Air conditioning,Floorboards,Intercom,Built in wardrobes,Gas,Balcony / Deck"
